CustomerID,CustomerName,City,Age,PurchaseAmount,PaymentMethod,Status
1001,rahul,hyderabad,25.0,1200,upi,completed
1002,priya,hyderabad,30.0,1500,cash,completed
1003,arun,hyderabad,30.0,1100,upi,pending
1004,sneha,secunderabad,28.0,1300,upi,completed
1005,kiran,hyderabad,35.0,1250,cash,completed
1006,meena,hyderabad,26.0,1400,upi,completed
1007,ravi,warangal,29.0,99999,cash,completed
1008,kiran,warangal,31.0,1600,upi,pending
1009,anil,hyderabad,27.0,1150,upi,completed
1010,divya,hyderabad,33.0,1350,cash,completed
1011,suresh,hyderabad,40.0,1800,upi,completed
1012,pooja,-,24.0,1050,upi,pending
1013,vijay,warangal,38.0,1700,cash,completed
1014,anusha,secunderabad,22.0,950,upi,completed
1015,mahesh,hyderabad,45.0,2100,cash,completed
